id,label
7200,4
7201,2
7202,2
7203,4
7204,4
7205,0
7206,3
7207,0
7208,2
7209,2
7210,4
7211,1
7212,4
7213,4
7214,1
7215,4
7216,0
7217,1
7218,4
7219,3
7220,0
7221,1
7222,0
7223,1
7224,1
7225,1
7226,4
7227,4
7228,3
7229,0
7230,2
7231,2
7232,3
7233,1
7234,2
7235,2
7236,4
7237,4
7238,0
7239,3
7240,2
7241,3
7242,1
7243,3
7244,0
7245,4
7246,3
7247,4
7248,4
7249,1
7250,1
7251,2
7252,1
7253,0
7254,4
7255,2
7256,1
7257,4
7258,0
7259,4
7260,2
7261,0
7262,4
7263,0
7264,0
7265,4
7266,4
7267,3
7268,1
7269,3
7270,0
7271,3
7272,1
7273,1
7274,1
7275,1
7276,0
7277,2
7278,2
7279,2
7280,3
7281,2
7282,1
7283,2
7284,2
7285,4
7286,2
7287,1
7288,4
7289,0
7290,0
7291,4
7292,0
7293,1
7294,1
7295,4
7296,3
7297,1
7298,2
7299,4
7300,4
7301,4
7302,4
7303,0
7304,0
7305,1
7306,4
7307,4
7308,2
7309,3
7310,0
7311,4
7312,3
7313,1
7314,0
7315,3
7316,3
7317,1
7318,1
7319,4
7320,2
7321,0
7322,2
7323,0
7324,4
7325,4
7326,1
7327,2
7328,4
7329,2
7330,3
7331,4
7332,4
7333,2
7334,2
7335,2
7336,2
7337,1
7338,0
7339,1
7340,2
7341,0
7342,1
7343,4
7344,1
7345,4
7346,4
7347,2
7348,4
7349,2
7350,2
7351,1
7352,1
7353,2
7354,4
7355,4
7356,3
7357,1
7358,0
7359,1
7360,3
7361,3
7362,1
7363,2
7364,3
7365,2
7366,0
7367,3
7368,3
7369,3
7370,2
7371,2
7372,4
7373,3
7374,4
7375,2
7376,4
7377,1
7378,2
7379,0
7380,2
7381,4
7382,4
7383,4
7384,3
7385,1
7386,2
7387,2
7388,2
7389,4
7390,1
7391,3
7392,0
7393,3
7394,0
7395,4
7396,2
7397,1
7398,3
7399,0
7400,1
7401,4
7402,3
7403,4
7404,0
7405,4
7406,3
7407,4
7408,0
7409,1
7410,4
7411,4
7412,2
7413,1
7414,0
7415,3
7416,3
7417,1
7418,3
7419,1
7420,2
7421,4
7422,1
7423,2
7424,1
7425,3
7426,2
7427,2
7428,1
7429,4
7430,3
7431,2
7432,1
7433,4
7434,2
7435,4
7436,1
7437,2
7438,3
